"Name","Avg MVP","MVP/m","Total MVP","Accuracy","Hit Diff","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate"
"Unicorn","11.35","1.36","22.7","83.27","0.51","0% (0/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","8.6","76","0% (0/1)","0","0","NaN% (0/0)","14.1","90.54","0% (0/1)"
"Minette","11.33","0.96","113.28","79.5","0.81","30% (3/10)","10.13","74.41","33% (1/3)","13.99","82.29","50% (1/2)","10.6","78.06","25% (1/4)","12.5","94.87","0% (0/1)","0","0","NaN% (0/0)"
"DiscoStu","11.29","1.03","124.2","74.31","0.67","36% (4/11)","19.37","76.65","50% (1/2)","8.6","86.05","100% (1/1)","6.73","59.44","0% (0/4)","9.2","83.97","50% (1/2)","15.79","86.2","50% (1/2)"
"Noodles","11.27","0.98","225.4","70.85","0.67","50% (10/20)","11.38","61.57","33% (3/9)","10.83","87.03","50% (2/4)","12.02","69.61","80% (4/5)","0","0","NaN% (0/0)","9.8","83.29","50% (1/2)"
"Rock Head","11.24","0","404.69","70.44","0.93","50% (18/36)","0","0","NaN% (0/0)","9.85","75.28","71% (5/7)","11.82","62.25","40% (8/20)","11.16","84.44","60% (3/5)","10.88","85.39","50% (2/4)"
"Phones☺♥","11.21","1.09","89.66","73.89","0.84","13% (1/8)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","11.21","73.89","13% (1/8)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Egg","10.9","1.12","10.9","88.68","0.54","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","10.9","88.68","0% (0/1)","0","0","NaN% (0/0)"
"Volterizer","10.88","0.99","87","66.35","0.88","50% (4/8)","13","75.08","100% (2/2)","0","0","NaN% (0/0)","9.88","51.7","25% (1/4)","14.6","84.48","100% (1/1)","6.9","89.36","0% (0/1)"
"Phideaux","10.74","0.89","708.84","74.97","0.73","48% (32/66)","11.6","72.55","27% (3/11)","10.29","82.29","43% (6/14)","9.95","61.7","50% (12/24)","11.88","88.94","86% (6/7)","11.52","89.43","50% (5/10)"
"Fives","10.67","0.99","32","76.54","0.55","0% (0/3)","10.67","76.54","0% (0/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Vipermetcalf","10.6","0.79","127.17","70.89","0.82","42% (5/12)","5.7","61.48","33% (1/3)","11.95","80.15","40% (2/5)","12.14","60.47","33% (1/3)","13.9","84.09","100% (1/1)","0","0","NaN% (0/0)"
"TheSwissPotwal","10.59","1.13","31.78","79.23","0.87","0% (0/3)","0","0","NaN% (0/0)","10.59","79.23","0% (0/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"The Gracken","10.57","0.91","412.23","70.31","0.7","49% (19/39)","8.78","67.02","14% (1/7)","5.5","69.67","25% (1/4)","11.92","62.39","67% (12/18)","11.9","83.33","67% (2/3)","11.21","88.78","43% (3/7)"
"Avenger","10.3","0","10.3","55.07","0.8","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","10.3","55.07","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Anubis","10.3","0","10.3","63.16","0.69","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","10.3","63.16","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Red","10.2","0.86","10.2","92.45","0.36","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","10.2","92.45","100% (1/1)"
"Bugger","10.1","0.75","90.9","68.8","0.77","22% (2/9)","9.65","66.55","0% (0/2)","9.75","72.51","0% (0/2)","10.88","64.27","50% (2/4)","8.6","83.96","0% (0/1)","0","0","NaN% (0/0)"
"Tal","10.08","0.87","90.74","68.52","0.83","44% (4/9)","7.9","79.45","100% (1/1)","6.8","87.88","0% (0/1)","9.37","59.83","33% (2/6)","0","0","NaN% (0/0)","19.84","90.36","100% (1/1)"
"DankMemer","9.92","0.84","178.6","85.88","0.69","39% (7/18)","14.5","84.62","100% (1/1)","7.95","84.5","50% (1/2)","11.53","79.85","50% (2/4)","9.28","87.45","22% (2/9)","9.3","92.94","50% (1/2)"
"Maverick","9.85","0","19.7","83.33","0.16","100% (2/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","9.85","83.33","100% (2/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"ThePsychWarden","9.83","0.71","29.5","58.21","0.93","67% (2/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","8.25","47.45","50% (1/2)","0","0","NaN% (0/0)","13","79.73","100% (1/1)"
"LeoLlama1","9.82","0.68","49.09","64.7","0.82","60% (3/5)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","9.92","57.36","50% (2/4)","0","0","NaN% (0/0)","9.4","94.03","100% (1/1)"
"Reaper","9.79","0.77","411.15","71.47","0.6","38% (16/42)","11.58","67.91","33% (3/9)","8.37","77.1","50% (3/6)","9.92","62.2","44% (8/18)","6.68","86.84","0% (0/4)","10.31","92.23","40% (2/5)"
"Starkiller","9.71","5.2","155.33","61.24","0.55","31% (5/16)","3.1","40.83","0% (0/1)","0","0","NaN% (0/0)","5.97","46.63","17% (1/6)","8.99","63.06","33% (1/3)","14.91","78.33","50% (3/6)"
"Bugger","9.64","0.78","163.92","63.8","0.88","53% (9/17)","7.8","47.95","100% (1/1)","3.7","56.67","0% (0/1)","12.42","54.13","63% (5/8)","5.4","67.04","33% (1/3)","9.22","86.46","50% (2/4)"
"Cthulu","9.57","0.72","583.76","67.3","0.68","54% (33/61)","10.89","64.99","50% (5/10)","9.15","76.56","64% (7/11)","8.24","53.21","50% (13/26)","11.48","88.4","86% (6/7)","11.38","87.33","29% (2/7)"
"Vetillus","9.51","0.82","66.6","44.96","0.63","57% (4/7)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","9.51","44.96","57% (4/7)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"IndeanaJowns","9.46","0.7","208.12","58.35","0.71","64% (14/22)","8.18","48.45","50% (3/6)","7.42","58.18","80% (4/5)","10.15","41.61","67% (4/6)","9.74","86.67","50% (1/2)","13.85","93.05","67% (2/3)"
"Jafat","9.4","0.71","65.77","58.22","0.62","43% (3/7)","12.5","54.7","50% (1/2)","0","0","NaN% (0/0)","6.86","38.66","67% (2/3)","11.5","94.87","0% (0/1)","8.7","87.27","0% (0/1)"
"Spicy","9.37","2.4","402.72","68.54","0.55","42% (18/43)","9.08","69.17","17% (1/6)","7.67","66.72","33% (1/3)","9.37","61.3","44% (11/25)","8.13","84.39","33% (1/3)","11.11","91.05","67% (4/6)"
"Rose Jasper","9.34","0.8","196.2","67.99","0.59","48% (10/21)","10.1","60.77","33% (1/3)","7.18","69.72","40% (2/5)","9.79","56.85","63% (5/8)","6.3","82.76","0% (0/1)","11.36","89.85","50% (2/4)"
